City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Westport,US,78.75,clear sky,41.1415,-73.3579,The Westport Inn
336,Aloleng,PH,83.05,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
341,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
344,Birnin Kebbi,NG,78.69,light rain,12.4539,4.1975,Saffar Guest Inn Ltd
346,Tongliao,CN,77.56,overcast clouds,43.6125,122.2653,Meirujia Hotel
348,Taicheng,CN,80.89,clear sky,38.731,113.228,五台山康旅酒店
349,La Asuncion,VE,78.64,broken clouds,11.0333,-63.8628,Colinas de Matasiete
350,Tautira,PF,76.1,light rain,-17.7333,-149.15,Pension Oaoa
356,Gwadar,PK,83.17,scattered clouds,25.1216,62.3254,Sadaf Resort
357,Gazli,UZ,87.06,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
358,Santa Marta,CO,82.45,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
362,Sur,OM,88.11,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
365,Bud,US,75.22,clear sky,39.447,-86.1758,Ted McQuinn Trust
368,That Phanom,TH,82.98,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
370,Sarangani,PH,81.32,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
371,Pingdu,CN,79.77,overcast clouds,36.7844,119.9464,Dongfang Hotel
372,Balkanabat,TM,90.32,clear sky,39.5108,54.3671,Nebitchi Hotel
375,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
386,Malia,GR,77.83,clear sky,35.2833,25.4667,Kalypso Hotel
387,Victoria,HK,91.26,broken clouds,22.2855,114.1577,Mini Central
388,Katobu,ID,84.33,scattered clouds,-4.9408,122.5276,La Ode Husein
394,Kirakira,SB,83.53,few clouds,-10.4544,161.9205,SanBiz Lodge
395,Ewo,CG,77.76,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
397,Kurtalan,TR,77.92,clear sky,37.9272,41.7028,Kurtalan Öğretmenevi ve Akşam Sanat Okulu
400,Hami,CN,88.63,broken clouds,42.8,93.45,Laoyutang Resort
402,Santo Antonio Do Taua,BR,76.95,broken clouds,-1.1519,-48.1294,Pousada Magno
403,Kano,NG,76.03,light rain,12.0001,8.5167,Royal Tropicana Hotel
405,Atar,MR,87.73,scattered clouds,20.5169,-13.0499,Oumou Elghoura
412,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
414,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
415,Carora,VE,76.42,overcast clouds,10.1755,-70.0827,Hotel Irpinia
417,Namatanai,PG,84.18,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
418,Mora,CM,77.34,overcast clouds,11.0461,14.1401,Hotel Emergence
427,Buloh Kasap,MY,81.66,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
436,Balikpapan,ID,79.79,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
437,Port Blair,IN,82.9,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
439,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
446,Tarauaca,BR,77.9,overcast clouds,-8.1614,-70.7656,Flat Temporada
447,Zhicheng,CN,96.42,overcast clouds,30.2956,111.5047,Wangjiang Building
449,Panaba,MX,81.07,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
451,Tezpur,IN,86.09,overcast clouds,26.6333,92.8,Hotel Kanyapur
452,Balabac,PH,82.85,heavy intensity rain,7.9868,117.0645,Batalla’s Lodging House
456,Shache,CN,79.02,overcast clouds,38.4167,77.2406,Delong Hotel
463,Itoigawa,JP,86.02,few clouds,37.0333,137.85,Hotel Route Inn Itoigawa
466,Xichang,CN,79.75,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
475,Gunjur,GM,80.67,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
477,Buala,SB,84.22,light rain,-8.145,159.5921,Maringe Lagoon Lodge
482,Nieves,PH,87.31,overcast clouds,15.3274,120.9485,Bill's Inn
484,San Antonio,US,97.25,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
485,Grand Island,US,79.09,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
486,Manggar,ID,81.1,moderate rain,-2.8833,108.2667,Guest Hotel
487,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
488,Ninghai,CN,91.4,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
496,Sao Geraldo Do Araguaia,BR,79.79,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
499,Sonoita,MX,88.09,overcast clouds,31.85,-112.8333,Hotel internacional
500,Pocatello,US,84.11,clear sky,42.8713,-112.4455,TownePlace Suites by Marriott Pocatello
501,Chengde,CN,86.36,broken clouds,40.9725,117.9361,Super 8 Hotel
502,Tigil,RU,80.82,few clouds,57.8,158.6667,Tigil'
507,Tateyama,JP,77.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
513,Kaseda,JP,83.05,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
514,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
517,Medicine Hat,CA,81.21,clear sky,50.0501,-110.6683,Ramada Limited Medicine Hat
527,Pampa,US,86.95,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
528,Darab,IR,84.51,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
530,Kupang,ID,80.53,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
532,Rio Tuba,PH,81.99,light rain,8.5061,117.4317,Triple J Lodging House
534,Kirkwood,US,76.68,clear sky,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
536,Acarau,BR,77.85,few clouds,-2.8856,-40.12,castelo pizzaria
537,Sri Aman,MY,80.33,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
538,Mahibadhoo,MV,81.7,scattered clouds,3.7833,72.9667,Omadhoo Inn
539,Magadan,RU,79.54,broken clouds,59.5667,150.8,Magadan hotel
549,Sungai Besar,MY,83.93,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
551,Worland,US,84.88,clear sky,44.0169,-107.9554,Town House Motor Inn
552,Tizimin,MX,80.47,overcast clouds,21.15,-88.15,silva hogar
555,Nichinan,JP,86.29,overcast clouds,31.6,131.3667,Guest House Aki
557,Nabire,ID,84.88,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
561,Buluang,PH,85.66,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
566,Yashkul,RU,75.7,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
567,Miri,MY,82.9,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
571,Banamba,ML,81.75,scattered clouds,13.55,-7.45,Kassela de Banamba
573,Trenggalek,ID,81.7,scattered clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
575,Barabai,ID,89.04,few clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
579,Male,MV,81.73,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
586,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
593,Grants Pass,US,90.91,clear sky,42.439,-123.3284,Shilo Inns Grants Pass
594,Mareeba,AU,75.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
599,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
600,Davila,PH,80.58,heavy intensity rain,18.4726,120.5763,Blue Ridge Beach Resort
601,Ilam,NP,78.67,overcast clouds,26.9167,87.9167,चियाबारी कटेज
605,Seminole,US,85.37,few clouds,28.7086,-81.2081,The Oviedo Lodge Motel
606,North Platte,US,76.06,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
610,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Novotel Dakar
611,Bakel,SN,88.18,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
618,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
621,Atlantic City,US,75.38,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
624,Dzaoudzi,YT,76.89,broken clouds,-12.7887,45.2699,Le Rocher
626,Fethiye,TR,80.47,clear sky,36.6217,29.1164,Club & Hotel Letoonia
627,Luwuk,ID,81.23,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
631,Itoman,JP,89.98,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
632,Muli,MV,82.06,broken clouds,2.9167,73.5667,Medhufushi Island Resort
638,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
642,Garchitorena,PH,87.39,overcast clouds,13.8804,123.6946,Site
643,Dibulla,CO,78.66,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
646,Brigantine,US,75.4,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
649,Baiyin,CN,76.21,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
650,Aksu,CN,79.75,clear sky,41.1231,80.2644,Pudong Holiday Hotel
654,Aquin,HT,79.2,clear sky,18.2833,-73.4,Asheev Beach
661,Marawi,PH,78.04,broken clouds,7.9986,124.2928,Derogongan Residence
662,Estelle,US,81.0,broken clouds,29.8458,-90.1067,Ohio
667,Kieta,PG,83.7,light rain,-6.2167,155.6333,Uruna Bay Retreat
672,Wilmington Island,US,82.98,clear sky,32.0036,-80.9737,Breezeway Studio Manor LLC
674,Dovers,VC,80.22,overcast clouds,12.8833,-61.1833,Ocean Breeze
