City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Lazaro Cardenas,MX,17.9583,-102.2,80.73,81,61,6.22,broken clouds
210,Belmonte,BR,-15.8631,-38.8828,71.06,75,40,3.8,scattered clouds
211,Andenes,NO,69.3143,16.1194,59.94,88,75,8.05,drizzle
212,Bondoukou,CI,8.0333,-2.8,70.07,98,97,6.31,overcast clouds
213,Empalme,MX,27.9667,-110.8167,88.05,67,11,8.23,few clouds
214,Karratha,AU,-20.7377,116.8463,73.72,29,4,18.23,clear sky
215,Aragarcas,BR,-15.8975,-52.2508,67.05,55,30,2.55,scattered clouds
216,Singaraja,ID,-8.112,115.0882,83.23,69,51,2.89,broken clouds
217,Diego De Almagro,CL,-26.3667,-70.05,50.09,42,0,0.74,clear sky
218,Linden,GY,6.0,-58.3,72.77,99,49,2.3,scattered clouds
219,Coos Bay,US,43.3665,-124.2179,64.31,88,100,14.97,overcast clouds
220,Louis Trichardt,ZA,-23.0439,29.9032,51.6,90,1,4.25,clear sky
221,Poum,NC,-20.2333,164.0167,77.47,84,72,17.56,broken clouds
222,Pemangkat,ID,1.1667,108.9667,78.94,84,100,11.05,light rain
223,Coahuayana,MX,18.7333,-103.6833,78.76,86,69,2.19,broken clouds
224,Albert Lea,US,43.648,-93.3683,73.49,68,0,5.75,clear sky
225,Bathsheba,BB,13.2167,-59.5167,81.21,84,20,21.85,few clouds
226,Voitsberg,AT,47.0333,15.15,51.75,92,88,5.32,overcast clouds
227,Adelaide,AU,-34.9333,138.6,57.42,73,20,8.05,few clouds
228,Elko,US,41.0002,-115.5012,86.02,41,100,13.31,overcast clouds
229,Yerbogachen,RU,61.2767,108.0108,58.15,46,80,5.57,broken clouds
230,Hambantota,LK,6.1241,81.1185,82.74,78,20,10.36,few clouds
231,Chuy,UY,-33.6971,-53.4616,40.08,84,0,3.51,clear sky
232,Geraldton,AU,-28.7667,114.6,64.81,68,93,10.36,overcast clouds
233,Zorya,UA,45.9908,29.6967,58.87,54,2,7.18,clear sky
234,Mao,ES,39.8885,4.2658,70.36,88,0,0.0,clear sky
235,Lillooet,CA,50.6856,-121.942,78.42,41,1,8.46,clear sky
236,Peniche,PT,39.3558,-9.3811,74.44,69,93,2.08,overcast clouds
237,Dhidhdhoo,MV,6.8833,73.1,82.06,77,100,15.32,overcast clouds
238,Cabatuan,PH,10.8794,122.486,86.09,70,94,7.87,overcast clouds
239,Saint George,US,37.1041,-113.5841,100.99,17,0,26.46,clear sky
240,Kristiinankaupunki,FI,62.2743,21.376,59.13,75,76,3.13,broken clouds
241,Sanlucar La Mayor,ES,37.3871,-6.2011,79.77,41,31,8.01,scattered clouds
242,Suksun,RU,57.1431,57.3949,68.04,81,40,4.03,scattered clouds
243,Port Augusta,AU,-32.5,137.7667,57.42,55,100,11.3,overcast clouds
244,Ushtobe,KZ,45.2514,77.9838,78.21,36,100,15.19,overcast clouds
245,Iralaya,HN,15.0,-83.2333,79.5,88,20,12.88,few clouds
246,Pangnirtung,CA,66.1451,-65.7125,47.25,92,100,2.01,overcast clouds
247,Komsomolskiy,UZ,40.4272,71.7189,72.32,46,100,20.71,overcast clouds
248,Kolvereid,NO,64.8655,11.6047,53.11,90,100,5.88,overcast clouds
249,Ogaminana,NG,7.5946,6.2248,72.21,95,99,7.11,overcast clouds
250,Kaoma,ZM,-14.7833,24.8,48.85,70,0,5.66,clear sky
251,Corrales,US,35.2378,-106.6067,79.05,53,100,18.99,thunderstorm
252,Udachnyy,RU,66.4167,112.4,57.45,66,45,8.28,scattered clouds
253,Namibe,AO,-15.1961,12.1522,60.66,91,3,3.67,clear sky
254,Cape Canaveral,US,28.4058,-80.6048,85.06,78,20,8.05,few clouds
255,Tela,HN,15.7833,-87.45,78.15,91,84,6.69,broken clouds
256,Mambajao,PH,9.2504,124.7156,84.99,73,100,1.7,overcast clouds
257,Airai,TL,-8.9266,125.4092,67.37,54,82,3.62,broken clouds
258,Keetmanshoop,NA,-26.5833,18.1333,51.69,42,0,2.68,clear sky
259,Durres,AL,41.3231,19.4414,60.98,51,100,4.23,overcast clouds
260,Jalu,LY,29.0331,21.5482,74.84,66,3,6.2,clear sky
261,Bereda,ES,43.2686,-7.5406,69.42,71,22,0.85,few clouds
262,Hualmay,PE,-11.0964,-77.6139,60.57,83,3,9.4,clear sky
263,Portage,US,41.1667,-81.1998,72.01,78,0,0.0,clear sky
264,Kilindoni,TZ,-7.9139,39.6668,76.35,71,7,15.82,clear sky
265,Bogorodskoye,RU,56.55,37.8833,58.82,89,11,4.79,few clouds
266,Kamenka,RU,51.3223,42.7678,66.51,62,91,3.83,overcast clouds
267,Albina,SR,5.5,-54.05,72.7,98,90,2.06,overcast clouds
268,Mitsamiouli,KM,-11.3847,43.2844,76.57,75,63,13.24,light rain
269,Katete,UG,-0.7818,29.7544,62.37,66,63,4.07,broken clouds
270,Matagami,CA,49.7502,-77.6328,51.93,78,4,8.57,clear sky
271,Chiredzi,ZW,-21.05,31.6667,60.75,68,56,4.45,broken clouds
272,Riachao Das Neves,BR,-11.7461,-44.91,68.5,50,9,1.77,clear sky
273,Hohhot,CN,40.8106,111.6522,82.69,36,100,4.18,overcast clouds
274,Chapais,CA,49.7834,-74.8492,57.42,68,72,9.1,broken clouds
275,Anicuns,BR,-16.4611,-49.9617,64.76,47,24,4.25,few clouds
276,Ginir,ET,7.1333,40.7,53.58,81,81,9.86,broken clouds
277,Avanigadda,IN,16.0215,80.9181,79.39,71,100,14.29,overcast clouds
278,Diu,IN,20.7141,70.9822,81.43,83,99,19.51,light rain
279,Tuatapere,NZ,-46.1333,167.6833,43.63,95,100,10.4,moderate rain
280,Salinopolis,BR,-0.6136,-47.3561,77.29,87,54,7.85,broken clouds
281,Erdenet,MN,49.0333,104.0833,67.35,48,0,7.99,clear sky
282,Mucurapo,TT,10.6667,-61.5333,80.26,76,99,10.18,overcast clouds
283,Kenai,US,60.5544,-151.2583,62.69,76,100,6.91,overcast clouds
284,Sitka,US,57.0531,-135.33,55.29,82,100,4.61,overcast clouds
285,Mahina,PF,-17.5065,-149.489,71.37,94,100,5.75,light rain
286,Birin,NP,26.8865,88.0718,72.9,74,100,3.83,overcast clouds
287,Port Elizabeth,ZA,-33.918,25.5701,54.77,56,0,8.48,clear sky
288,Mayo,US,38.8876,-76.5119,73.94,92,0,3.44,clear sky
289,Whitehorse,CA,60.7161,-135.0538,47.01,93,100,8.99,overcast clouds
290,Qunduz,AF,36.729,68.857,86.86,18,0,2.55,clear sky
291,Claresholm,CA,50.0333,-113.5852,73.67,38,0,6.93,clear sky
292,Nara,JP,34.6851,135.8049,88.97,53,77,3.89,broken clouds
293,Yulara,AU,-25.2406,130.9889,58.19,35,0,14.63,clear sky
294,Damghan,IR,36.1683,54.348,76.23,29,0,1.63,clear sky
295,San Patricio,US,28.017,-97.5169,86.9,72,3,12.37,clear sky
296,Kawalu,ID,-7.3817,108.2082,81.55,76,99,2.24,overcast clouds
